Name,Distance,Rating,Review Count,Latitude,Longitude
Academia Corpore,291.0,0.0,0.0,-8.049831,-34.914409
Altar Cozinha Ancestral,447.0,0.0,0.0,-8.046033,-34.881433
Açaí,518.0,0.0,0.0,-8.051654,-34.887046
Baillar Escola de Dança,644.0,0.0,0.0,-8.04755,-34.888216
Bar do Neno,526.0,0.0,0.0,-8.032669,-34.909412
Bar e Restaurante Sob Medida,728.0,0.0,0.0,-7.996299,-34.841749
Barbearia Trois,829.0,0.0,0.0,-8.098054,-34.885245
Barraca do Pingo,609.0,0.0,0.0,-8.100289,-34.884155
Bercy Village - Crepes e Saladas,959.0,0.0,0.0,-8.110377,-34.893642
BrowBar,333.0,0.0,0.0,-8.04469,-34.893629
Bruno Tattoo Recife,801.0,0.0,0.0,-8.060975,-34.883145
Cacau Show,480.0,0.0,0.0,-8.030182,-34.90141
Cafe Sao Braz,837.0,0.0,0.0,-8.050643,-34.907466
Cafe do Mercado,981.0,0.0,0.0,-8.068907,-34.879109
Café do Brejo,830.0,0.0,0.0,-8.05473,-34.877284
Caixa Cultural,186.0,0.0,0.0,-8.062664,-34.871315
Capitão Taberna,757.0,0.0,0.0,-8.035868,-34.90908
Carlitos Burger,778.0,0.0,0.0,-8.045639,-34.907056
Casa de Tonho Sabores Regionais,564.0,0.0,0.0,-8.001472,-34.844637
Casa dos Frios,403.0,4.5,3.0,-8.105623,-34.88991
Castigliani Cafés Especiais,808.0,0.0,0.0,-8.032349,-34.913217
Cioccolatte Gelateria,209.0,5.0,4.0,-8.062421,-34.871131
Confraria da Barba,909.0,0.0,0.0,-8.047324,-34.898247
Coni Mais Temaki & Rolls,870.0,0.0,0.0,-8.049462,-34.907334
Cor & Corte,218.0,0.0,0.0,-8.001548,-34.841375
Dalena,786.0,4.5,9.0,-8.047569,-34.897101
Delikata,579.0,0.0,0.0,-7.997067,-34.839823
Delta Expresso,955.0,0.0,0.0,-7.993868,-34.840639
Depill Day,169.0,0.0,0.0,-7.999708,-34.840089
Disco de Ouro,684.0,0.0,0.0,-8.060141,-34.883016
Doceria Simone Barros - Espinheiro,233.0,0.0,0.0,-8.041641,-34.888644
Embaixada de Pernambuco,911.0,0.0,0.0,-8.060752,-34.871599
Entre Amigos Praia,827.0,4.0,10.0,-8.098265,-34.884039
Entre Amigos o Bode,559.0,0.0,0.0,-8.047191,-34.89474
Espaço Marco Zero - Comedoria,989.0,0.0,0.0,-8.031338,-34.915081
Etiqueta Verde,361.0,0.0,0.0,-8.041666,-34.894145
Faaca Boteco e Parrilla,397.0,0.0,0.0,-8.032848,-34.907056
FriSabor Madalena,613.0,0.0,0.0,-8.052216,-34.911827
Greenmix Zona Sul Restaurante,623.0,0.0,0.0,-8.099547,-34.886287
Lala Cafe & Cozinha Afetiva,306.0,0.0,0.0,-8.043648,-34.893257
Livraria Jaqueira,970.0,0.0,0.0,-8.037305,-34.902747
Loja Espaço Sport,492.0,0.0,0.0,-8.107707,-34.890413
Mak Burguer,529.0,0.0,0.0,-8.045932,-34.918789
Maura Lima,324.0,0.0,0.0,-7.999442,-34.839914
Mingus,839.0,5.0,3.0,-8.097882,-34.8847
Mitchell,976.0,0.0,0.0,-8.059092,-34.886874
Mr. Black Cafe Gourmet,916.0,0.0,0.0,-7.994215,-34.840521
Museu Cais do Sertão,430.0,0.0,0.0,-8.060025,-34.86996
Museu Murillo La Greca,968.0,0.0,0.0,-8.037152,-34.909877
Oma Pâtisserie Bistrô,828.0,0.0,0.0,-8.034054,-34.912206
Papaya Verde,448.0,4.5,4.0,-8.045248,-34.89303
Parque Santana,765.0,5.0,4.0,-8.040998,-34.916865
Paula Cabeleireiros,489.0,0.0,0.0,-8.047928,-34.909616
Paço do Frevo,202.0,4.5,7.0,-8.061447,-34.871606
Peixaria Frutos do Mar,2951.0,0.0,0.0,-8.05441,-34.881451
Polo Recife Multicultural,918.0,0.0,0.0,-8.054429,-34.87021
Praça do Arsenal da Marinha,928.0,0.0,0.0,-8.060752,-34.871599
Quitandaria,764.0,0.0,0.0,-8.035489,-34.888405
RM Express,972.0,0.0,0.0,-8.053319,-34.908035
Recanto Paraibano,853.0,4.0,7.0,-8.03475,-34.91197
Recife Bike,943.0,0.0,0.0,-8.067098,-34.880059
Restaurante Camarada Camarão - Shopping Recife,8051.0,0.0,0.0,-8.049196,-34.881644
Restaurante Manga Rosa,859.0,0.0,0.0,-8.066384,-34.879718
Restaurante Tempero da Mamae,688.0,0.0,0.0,-8.054518,-34.878974
Rio Mar Shopping,2552.0,0.0,0.0,-8.057353,-34.887583
Segundo Jardim de Boa Viagem,55.0,0.0,0.0,-8.10462,-34.887011
Simone Barros Doceria & Cafeteria II,767.0,0.0,0.0,-8.00881,-34.84247
Sobrancelhas Design Graças,911.0,0.0,0.0,-8.047497,-34.898309
Spettus Steak House,286.0,4.5,17.0,-8.103678,-34.889167
Subway,1707.0,0.0,0.0,-8.002587,-34.842956
São Braz - Suassuna,518.0,0.0,0.0,-8.054302,-34.883324
Ta San Yuen,403.0,0.0,0.0,-8.041178,-34.894503
Teatro Marco Camarotti,124.0,0.0,0.0,-8.049542,-34.882614
Teatro de Santa Isabel,667.0,0.0,0.0,-8.06081,-34.878248
Villa Sandino,671.0,0.0,0.0,-8.04872,-34.894997
Alphaiate,0.0,4.5,4.0,-8.104383,-34.887301
Apolo Beer Café,0.0,5.0,4.0,-8.0612497,-34.872139
As Galerias,0.0,4.5,5.0,-8.0612999,-34.87173
Bar Burburinho,0.0,4.5,6.0,-8.0640259,-34.8724022
Bar Central,0.0,4.0,17.0,-8.05779312123268,-34.880135199701
Bar Teatro Mamulengo,0.0,4.0,5.0,-8.0610504,-34.8716393
Bar do Agenor,0.0,3.5,3.0,-8.0482397,-34.9145012
Bar do Ao Seu Dispor,0.0,3.5,7.0,-8.04184,-34.90811
Bar do Neno e Lula,0.0,4.5,5.0,-8.0328199,-34.90963
Bar e Restaurante Marisqueira,0.0,5.0,1.0,-8.0073512,-34.840877
Benvinda,0.0,4.5,3.0,-8.10566,-34.889524
Bodega do Futuro,0.0,4.0,7.0,-8.0427656,-34.8987312
Bogart Café,0.0,4.5,5.0,-8.0546198,-34.8881798
Buca Trattoria,0.0,4.5,3.0,-8.0451803,-34.8933601
Cachaçaria Tradição,0.0,4.5,5.0,-8.0449434,-34.8997402
Cais do Sertão,0.0,4.5,5.0,-8.060006,-34.869925
Cakes Doceria,0.0,4.5,2.0,-8.1055498,-34.8895416
Camarada Camarão,0.0,4.5,8.0,-8.100946254656,-34.8864100361763
Canela Gastrobar,0.0,4.5,5.0,-8.0345201,-34.8987999
Capitania Forneria & Mar,0.0,5.0,1.0,-7.9952755,-34.838913
Caravela's,0.0,5.0,4.0,-8.0620203,-34.8714104
Carlitos Burguer,0.0,3.5,7.0,-8.04387,-34.9092
Chez Wiet Patisserie,0.0,4.5,2.0,-8.1007299,-34.8876114
China 48,0.0,4.5,5.0,-8.0403204,-34.8926697
Chiwake,0.0,5.0,5.0,-8.0479241,-34.8954469
Club Bardot,0.0,5.0,2.0,-8.1101398,-34.892849
Club Miró,0.0,4.5,5.0,-8.0539904,-34.8879318
Club du Vin,0.0,4.0,2.0,-8.1055403,-34.8886108
Com.Pão,0.0,5.0,4.0,-8.0415697,-34.8981781
Confraria,0.0,4.5,6.0,-8.034333,-34.890739
Confraria do Sanduba,0.0,3.5,5.0,-8.04762,-34.90904
DaHora Restaurante e Pizzaria,0.0,4.5,3.0,-8.0451899,-34.8937683
Delicia da Prazeres,0.0,4.5,3.0,-8.05186,-34.91823
Di Branco Recepções,0.0,4.5,3.0,-8.0474701,-34.9085503
Diplomata Delicatessen,0.0,4.0,4.0,-8.1086502,-34.8903008
Dobradinha do Gordo,0.0,4.5,5.0,-8.045796,-34.907201
Downtown Pub,0.0,4.5,11.0,-8.0639,-34.8724599
Empadas Santa Massa,0.0,4.5,3.0,-8.103817,-34.8866997
Empório Sertanejo,0.0,4.5,12.0,-8.0423002,-34.8914108
Espaço Muda,0.0,4.5,3.0,-8.0533199,-34.8791199
Famiglia Lucco,0.0,4.5,4.0,-8.0474396,-34.8949585
Famiglia Lucco Pizzas,0.0,4.0,6.0,-8.0320997,-34.913681
Feirinha do Bom Jesus,0.0,4.5,5.0,-8.0621405,-34.8713989
Frontal Ponto de Encontro,0.0,3.5,5.0,-8.0578604,-34.8801994
Galeria Café Castro Alves,0.0,4.5,5.0,-8.0533199,-34.8791199
Ganache Tortas Finas,0.0,5.0,3.0,-8.1124802,-34.8935699
Govinda,0.0,4.5,3.0,-8.0553703,-34.8859215
Guaiamum Gigante,0.0,3.5,7.0,-8.0362701,-34.9102783
Igarassu,0.0,4.5,2.0,-8.0542775,-34.8812561
Irajá,0.0,4.0,3.0,-8.04653,-34.91092
Iraq,0.0,3.5,6.0,-8.0565796,-34.8854599
Italian Freddo,0.0,4.5,2.0,-8.1008997,-34.8865814
Itapissuma,0.0,5.0,2.0,-8.0542775,-34.8812561
Itiban,0.0,4.0,11.0,-8.05032177998383,-34.9074477873834
Kovacic,0.0,4.5,3.0,-8.0527096,-34.8887444
Kwai Burger,0.0,4.5,4.0,-8.03809,-34.90225
La Pecora Nera,0.0,5.0,5.0,-8.0493145,-34.9118423
Le Olive Pizzeria,0.0,4.5,3.0,-8.0349102,-34.9014511
Mutti Capriccio,0.0,4.0,7.0,-8.03706,-34.91138
Na Venda - Chocolates e Cafés,0.0,5.0,3.0,-8.0451899,-34.8985901
Nikko Japanese Fusion,0.0,4.5,7.0,-8.105029,-34.888829
Nova Torre,0.0,5.0,2.0,-8.0422916,-34.9098015
O Rei da Picanha,0.0,3.5,5.0,-8.0244981,-34.9104218
O Rei das Coxinhas,0.0,4.5,11.0,-8.0443096,-34.894249
O Vegetariano,0.0,4.5,3.0,-8.05235,-34.8889198
Oma Pâtisserie e Bistrô,0.0,4.5,3.0,-8.0279455,-34.8995438
Pan Jovem Jaqueira,0.0,4.5,3.0,-8.0355101,-34.9022598
Panificadora Nova Armada,0.0,4.0,6.0,-8.04610186521047,-34.9070861935616
Panificadora e Confeitaria Espinheiro,0.0,4.5,3.0,-8.0422497,-34.8923988
Parque 13 de Maio,0.0,4.5,8.0,-8.0569096,-34.8833885
Parque da Jaqueira,0.0,5.0,4.0,-8.0373402,-34.9030304
Parque de Esculturas Francisco Brennand,0.0,4.5,4.0,-8.06360159193182,-34.868788326062
Parraxaxá,0.0,4.5,14.0,-8.038119,-34.911863
Pizzaria Candelabro,0.0,4.5,4.0,-8.0279684,-34.9118652
Pizzaria La Cuca,0.0,4.5,3.0,-8.0436697,-34.9093018
Ponte Nova,0.0,5.0,4.0,-8.0465311,-34.8981218
Ponto do Açaí,0.0,4.5,7.0,-8.0370197,-34.9015884
Portal da Picanha,0.0,4.0,9.0,-8.03527,-34.899235
Praça da República,0.0,5.0,5.0,-8.0613403,-34.8777199
Praça do Marco Zero,0.0,4.5,4.0,-8.06301333046358,-34.8712680653359
Pão de Açúcar,0.0,4.5,6.0,-8.0460616,-34.8972255
Recife Cocos,0.0,5.0,3.0,-8.0084925,-34.9365158
Restaurante Acafrao,0.0,4.5,3.0,-8.05443,-34.8880692
Restaurante Amarelo Manga,0.0,4.5,3.0,-8.0437498,-34.8926811
Restaurante Capitão Lima,0.0,4.0,4.0,-8.0541897,-34.8778
Restaurante Puxinanã,0.0,4.5,5.0,-8.0576601,-34.8803291
Rock & Ribs,0.0,4.5,4.0,-8.0586004,-34.8696785
Rua do lazer,0.0,4.5,4.0,-8.05469513775016,-34.8873583421417
Sabor do Doce,0.0,4.0,3.0,-8.0267601,-34.9048615
Sansa,0.0,4.5,8.0,-8.062973,-34.87236
Santa Pizza,0.0,4.0,4.0,-8.0421658,-34.9084854
Seu Boteco,0.0,4.5,7.0,-8.063757,-34.871309
Sinagoga Kahal Zur Israel,0.0,4.5,7.0,-8.0619001,-34.8713608
Sob Medida,0.0,1.0,1.0,-7.99626491926441,-34.8418368672758
Speciale Pizzas Artesanais,0.0,3.5,6.0,-8.04589,-34.90691
Sugoi,0.0,4.0,1.0,-7.9998088,-34.8392563
São Braz,0.0,4.5,3.0,-8.0543404,-34.8833504
São Braz Café,0.0,4.5,3.0,-8.0643997,-34.8738785
Sítio Trindade,0.0,4.5,3.0,-8.02981610254743,-34.9123603915405
Tapioca da Maria,0.0,4.5,3.0,-8.0531301,-34.8873787
Tay San Yuen,0.0,4.5,3.0,-8.04145816406097,-34.8938260227442
Terracio Restaurante,0.0,5.0,2.0,-8.0439501,-34.8928909
Texanno's,0.0,4.0,6.0,-8.035727,-34.908796
Tomaselli,0.0,4.5,3.0,-8.1029196,-34.8864594
Torre Malakoff,0.0,5.0,6.0,-8.06015249140342,-34.8711306772461
Torre Massas,0.0,5.0,3.0,-8.0437202,-34.9105186
Underground,0.0,4.0,6.0,-8.0970402,-34.8834915
Vaporetto Container Bar,0.0,4.5,9.0,-8.04002102272508,-34.9127634242177
Vasconcelos Bistrô e Café,0.0,4.5,3.0,-8.0478401,-34.8891907
Via Paladar,0.0,5.0,3.0,-8.04317,-34.893261
Vovó Nice,0.0,5.0,4.0,-8.04529,-34.9072304
Wiella Bistrô,0.0,4.5,3.0,-8.1007299,-34.8876114
Winner Sports Bar,0.0,4.5,5.0,-8.0473804,-34.8937912
Yantai Express,0.0,3.0,6.0,-8.0325499,-34.9041481
ZEN,0.0,3.5,13.0,-8.04413390541109,-34.8928966601909
Ça Va Bistrô,0.0,4.5,4.0,-8.0955496,-34.8840408
